,piece,current_position,next_position,skip,reward
184,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
185,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
186,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
187,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
188,"(255, 0, 0)","(3, 2)","(2, 1)",-,0
189,"(255, 0, 0)","(2, 1)","(0, 3)","[(255, 255, 255)]",44
190,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
191,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
192,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
193,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
194,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
195,"(255, 0, 0)","(3, 4)","(4, 3)",-,0
196,"(255, 0, 0)","(4, 3)","(5, 2)",-,0
197,"(255, 0, 0)","(5, 2)","(4, 3)",-,0
198,"(255, 0, 0)","(4, 3)","(3, 4)",-,0
199,"(255, 0, 0)","(3, 4)","(4, 5)",-,0
200,"(255, 0, 0)","(4, 5)","(3, 6)",-,0
201,"(255, 0, 0)","(3, 6)","(2, 7)",-,0
202,"(255, 0, 0)","(2, 7)","(0, 5)","[(255, 255, 255)]",44
203,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
204,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
205,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
206,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
207,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
208,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
209,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
210,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
211,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
212,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
213,"(255, 0, 0)","(2, 5)","(3, 6)",-,0
214,"(255, 0, 0)","(3, 6)","(4, 7)",-,0
215,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
216,"(255, 0, 0)","(3, 6)","(2, 7)",-,0
217,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
218,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
219,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
220,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
221,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
222,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
223,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
224,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
225,"(255, 0, 0)","(2, 5)","(3, 6)",-,0
226,"(255, 0, 0)","(3, 6)","(4, 7)",-,0
227,"(255, 0, 0)","(4, 7)","(5, 6)",-,0
228,"(255, 0, 0)","(5, 6)","(4, 7)",-,0
