,piece,current_position,next_position,skip,reward
302,"(255, 255, 255)","(0, 5)","(1, 6)",-,0
303,"(255, 255, 255)","(1, 6)","(0, 5)",-,4
304,"(255, 255, 255)","(0, 5)","(1, 4)",-,0
305,"(255, 255, 255)","(1, 4)","(2, 5)",-,0
306,"(255, 255, 255)","(2, 5)","(1, 6)",-,0
307,"(255, 255, 255)","(1, 6)","(0, 7)",-,4
308,"(255, 255, 255)","(0, 7)","(1, 6)",-,0
309,"(255, 255, 255)","(1, 6)","(0, 5)",-,4
310,"(255, 255, 255)","(0, 5)","(1, 6)",-,0
311,"(255, 255, 255)","(1, 6)","(2, 5)",-,0
312,"(255, 255, 255)","(2, 5)","(1, 4)",-,0
313,"(255, 255, 255)","(1, 4)","(2, 5)",-,0
314,"(255, 255, 255)","(2, 5)","(1, 4)",-,0
315,"(255, 255, 255)","(1, 4)","(2, 3)",-,0
316,"(255, 255, 255)","(2, 3)","(3, 2)",-,0
317,"(255, 255, 255)","(3, 2)","(4, 3)",-,0
318,"(255, 255, 255)","(4, 3)","(5, 4)",-,0
319,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
320,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
321,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
322,"(255, 255, 255)","(6, 5)","(7, 6)",-,4
323,"(255, 255, 255)","(7, 6)","(6, 5)",-,0
324,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
325,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
326,"(255, 255, 255)","(6, 3)","(5, 4)",-,0
327,"(255, 255, 255)","(5, 4)","(6, 3)",-,0
328,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
329,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
330,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
331,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
332,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
333,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
334,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
335,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
336,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
337,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
338,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
339,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
340,"(255, 255, 255)","(6, 1)","(5, 2)",-,0
341,"(255, 255, 255)","(5, 2)","(6, 1)",-,0
342,"(255, 255, 255)","(2, 1)","(3, 0)",-,0
343,"(255, 255, 255)","(2, 3)","(3, 4)",-,0
344,"(255, 255, 255)","(1, 4)","(2, 3)",-,0
345,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
346,"(255, 255, 255)","(2, 3)","(3, 4)",-,0
347,"(255, 255, 255)","(1, 2)","(2, 3)",-,0
348,"(255, 255, 255)","(3, 4)","(4, 3)",-,0
349,"(255, 255, 255)","(2, 5)","(3, 4)",-,0
350,"(255, 255, 255)","(0, 3)","(1, 2)",-,0
351,"(255, 255, 255)","(0, 5)","(1, 4)",-,0
352,"(255, 255, 255)","(1, 4)","(2, 5)",-,0
353,"(255, 255, 255)","(2, 7)","(4, 5)","[(255, 0, 0)]",40
354,"(255, 255, 255)","(4, 5)","(6, 3)","[(255, 0, 0)]",40
355,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
356,"(255, 255, 255)","(2, 5)","(3, 6)",-,0
357,"(255, 255, 255)","(2, 3)","(6, 3)","[(255, 0, 0), (255, 0, 0)]",80
358,"(255, 255, 255)","(1, 2)","(2, 3)",-,0
359,"(255, 255, 255)","(2, 3)","(3, 4)",-,0
360,"(255, 255, 255)","(1, 6)","(2, 5)",-,0
361,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
362,"(255, 255, 255)","(2, 5)","(3, 6)",-,0
363,"(255, 255, 255)","(0, 7)","(1, 6)",-,0
364,"(255, 255, 255)","(7, 2)","(5, 0)","[(255, 0, 0)]",40
365,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
366,"(255, 255, 255)","(4, 5)","(5, 4)",-,0
367,"(255, 255, 255)","(0, 1)","(1, 2)",-,0
368,"(255, 255, 255)","(5, 4)","(6, 3)",-,0
369,"(255, 255, 255)","(3, 0)","(4, 1)",-,0
